机构名称,网址,地点,邮箱,负责人
Cheviot Area School,,New Zealand,office@cheviot.school.nz,Mrs Virginia Neal
Chilton Saint James School,,New Zealand,info@chilton.school.nz,Ms Caroline Robertson
Christchurch Adventist School,,New Zealand,admin@cas.school.nz,Mr Evan Ellis
Christchurch Boys' High School,www.cbhs.school.nz,New Zealand,enquiries@cbhs.school.nz,Mr Nic Hill
Te Kura o Hine Waiora,,New Zealand,admin@cghs.school.nz,Mrs Helen Armstrong
Christchurch North College,https://www.cnc.school.nz,New Zealand,principal@cnc.school.nz,Mr Justin Fields
Christchurch Rudolf Steiner School,,New Zealand,admin@ch.steiner.school.nz,Mr Paul Kennedy
Christ's College,,New Zealand,executiveprincipal@christscollege.com,Mr Joe Eccelton
Coastal Taranaki School,,New Zealand,office@coastaltaranaki.school.nz,Coastal Taranaki School
Collingwood Area School,,New Zealand,admin@collingwood-area.school.nz,Mrs Kate Staniford
Columba College,,New Zealand,admin@columbacollege.school.nz,Mrs Charissa Nicol
Cornerstone Christian School,,New Zealand,principal@cornerstone.ac.nz,Mr James Rose
Coromandel Area School,,New Zealand,office@coroarea.school.nz,Mrs Tracey Adams
Craighead Diocesan School,,New Zealand,admin@craighead.school.nz,Ms Lara Hearn
Cromwell College,,New Zealand,admin@cromwell.school.nz,Mr Mason Stretch
Cullinane College,,New Zealand,office@cullinane.school.nz,Mr Anthony McBride
Dannevirke High School,,New Zealand,admin@dannevirkehigh.school.nz,Mrs Dianne Carter
Darfield High School,,New Zealand,admin@darfield.school.nz,Mr Andrew England
Dargaville High School,,New Zealand,office@darghigh.school.nz,Mr Curtis Gaylor
De La Salle College,,New Zealand,EnglishD2@delasalle.school.nz,Mr Myles Hogarty
Dilworth School,,New Zealand,info@dilworth.school.nz,Mr Dan Reddiex
Diocesan School for Girls,,New Zealand,office@diocesan.school.nz,Ms Heather McRae
Dunstan High School,,New Zealand,office@dunstan.school.nz,Andrew King
East Otago High School,,New Zealand,office@eohs.school.nz,Mrs Helen Newcombe
Edgewater College,,New Zealand,enquiries@edgewater.school.nz,Ms Louise Susan Addison
Elim Christian College,,New Zealand,office@elim.school.nz,Mr Julian Adamson
Elim Christian College Mt Albert,www.elimmtalbert.school.nz,New Zealand,office@elimmtalbert.school.nz,Mrs Tania Calvert
Ellesmere College,,New Zealand,office@ellesmere.school.nz,Antony French
Enuamanu School,,New Zealand,ngatokoa.june.roberts@enuamanu.edu.ck,Mrs Syaka Talagi-Tairi
Epsom Girls' Grammar School,,New Zealand,bmcnaughton@eggs.school.nz,Mrs Brenda McNaughton
Excellere College,,New Zealand,office@excellerecollege.school.nz,Mr Andy Mouat
Fairfield College,,New Zealand,adminfc@faircol.school.nz,Mr Richard Crawford
Feilding High School,,New Zealand,admin@feildinghigh.school.nz,Mr Nathan Stewart
Fiordland College,,New Zealand,admin@fiordland.school.nz,Mr Steven Mustor
Flaxmere College,www.flaxmerecollege.co.nz,New Zealand,office@flaxcol.co.nz,Mrs Cherie Heeney
Forest View High School,,New Zealand,principal@fvhs.school.nz,Mr Andrew Bramston
Francis Douglas Memorial College,,New Zealand,office@fdmc.school.nz,Mr Tim Stuck
Fraser High School,,New Zealand,office@fraser.school.nz,Mrs Virginia Crawford
Freyberg High School,,New Zealand,office@freyberg.ac.nz,Mr Graeme Williams
Garin College,,New Zealand,achieve@garincollege.nz,Mr John Maguire
Geraldine High School,,New Zealand,office@geraldinehs.school.nz,Mr Marcus Cooper
Gisborne Boys' High School,,New Zealand,office@gisboyshigh.net,Mr Thomas Cairns
Gisborne Girls' High School,,New Zealand,info@gghs.school.nz,Mrs Belinda Hannah
Glendowie College,,New Zealand,reception@gdc.school.nz,Mr Gordon Robertson
Glenfield College,,New Zealand,nzqa@glenfieldcollege.school.nz,Michelle Cleaver
Gloriavale Christian School,,New Zealand,victoryo@gloriavale.net,Mrs Harmony Helpful
Golden Bay High School,www.gbh.school.nz,New Zealand,postie@gbh.school.nz,Mr Jono Hay
Green Bay High School,www.greenbayhigh.school.nz,New Zealand,office@greenbayhigh.school.nz,Mrs Fiona Barker
Greymouth High School,,New Zealand,office@greyhigh.school.nz,Mrs Samantha Mortimer
Haeata Community Campus,www.haeata.school.nz,New Zealand,principal@haeata.school.nz,Mrs Peggy Burrows
Hagley Community College,www.hagley.school.nz,New Zealand,info@hagley.school.nz,Ms Rowan Milburn
Halswell Residential College,,New Zealand,office@halswellcollege.com,Mrs Janine Harrington
Hamilton Boys' High School,,New Zealand,jwilliams@hbhs.school.nz,Mr Jarred Williams
Hamilton Christian School,,New Zealand,admin@hamiltonchristian.school.nz,Mr Shaun Brooker
Hamilton Girls' High School,,New Zealand,administration@hghs.school.nz,Ms Marie Gordon
Hare Krishna School,,New Zealand,principal@harekrishna.school.nz,Mr Dharma Dasa
Hastings Boys' High School,,New Zealand,paoffice@hastingsboys.school.nz,Mr Mason Summerfield
Hastings Christian School,,New Zealand,office@hcs.school.nz,Mr Gavin Clark
Hastings Girls' High School,,New Zealand,admin@hastingsgirls.com,Ms Lisa Akers
Hato Paora College,,New Zealand,wpaniora@hatopaora.school.nz,Mr Wiremu Paniora
Hato Petera College,,New Zealand,ros_sil@hatopetera.school.nz,Mr John Matthews
Hauraki Plains College,,New Zealand,studentservices@haurakiplains.school.nz,Mrs Sharon Moller
Havelock North High School,,New Zealand,office@hnhs.school.nz,Mr Joel Wilton
Henderson High School,,New Zealand,admin@hhs.school.nz,Ms Philippa Durkin
Heretaunga College,,New Zealand,info@heretaunga.school.nz,Mr John Murdoch
Hillcrest High School,,New Zealand,office@hillcrest-high.school.nz,Mrs Christine Williams
Hillmorton High School,https://www.hillmorton.school.nz/,New Zealand,admin@hillmorton.school.nz,Mr Sam Ainsworth
Hobsonville Point Secondary School,,New Zealand,info@hobsonvillepoint.school.nz,Kirsty Dowding
Horizon School,https://www.horizon.school.nz/,New Zealand,admin@horizon.school.nz,Mr Daniel Bennett
Hornby High School,,New Zealand,office@hornby.school.nz,Mr Iain Murray
Horowhenua College,,New Zealand,office@horowhenua.school.nz,Grant Congdon
Howick College,www.howickcollege.school.nz,New Zealand,secretary@howick.school.nz,Mr Dale Burden
Huanui College,,New Zealand,philip.coombe@hc.school.nz,Mr Philip Coombe
Hukarere College,https://www.hukarere.ac.nz/,New Zealand,info@hukarere.school.nz,Hukarere College
Huntly College,www.huntlycollege.school.nz,New Zealand,admin@huntlycollege.school.nz,Mrs Rachael Parker
Hurunui College,,New Zealand,office@hurunuicollege.school.nz,Mr Steve Beck
Hutt International Boys' School,,New Zealand,admin@hibs.school.nz,Mr Thomas Gordon
Hutt Valley High School,,New Zealand,admin@hvhs.school.nz,Mrs Denise Johnson
Inglewood High School,,New Zealand,principal@inglewoodhs.school.nz,Miss Rosey Mabin
Iona College,,New Zealand,office@iona.school.nz,Ms Nicole Billante
James Cook High School,,New Zealand,admin@jchs.school.nz,Kirisitina Filipo
James Hargest College,,New Zealand,office@jameshargest.school.nz,Mr Michael Newell
John McGlashan College,,New Zealand,admin@mcglashan.school.nz,Doctor Aaron Columbus
John Paul College,www.jpc.school.nz,New Zealand,info@jpc.school.nz,Mr Justin Harper
John Paul II High School,www.johnpaul.ac.nz,New Zealand,admin@johnpaul.ac.nz,Ms Renee Hutchinson
Kadimah School,,New Zealand,office@kadimah.school.nz,Sue Meltzer
Kaiapoi High School,www.kaiapoi.school.nz,New Zealand,learn@kaiapoi.school.nz,Mr Jason Reid
Kaikohe Christian School,,New Zealand,yvonnev@kcs.school.nz,Kaikohe Christian School
Kaikorai Valley College,https://www.kvcollege.co.nz/,New Zealand,office@kvc.school.nz,Mr Jatin Bali
Kaikoura High School,,New Zealand,jdasler@kaikourahigh.school.nz,Mrs Jo Fissenden
Kaipara College,www.kaipara.school.nz,New Zealand,principal@kaipara.school.nz,Mrs Jane Coup
Kaitaia College,,New Zealand,admin@kaitaiacollege.school.nz,Alexandra Kingi
Kamo High School,www.kamohigh.school.nz,New Zealand,admin@kamohigh.school.nz,Ms Natasha Hemara
Kapiti College,,New Zealand,tony.kane@kc.school.nz,Mr David Lowe
Karamea Area School,,New Zealand,kgrey@karamea.school.nz,Mr Tony Baird
Karamu High School,,New Zealand,admin@karamu.school.nz,Ms Dionne Thomas
Katikati College,,New Zealand,principal@katikaticollege.school.nz,Mrs Louise Buckley
Kelston Boys' High School,,New Zealand,a.blair@kbhs.school.nz,Mr Steve Cole
Kelston Girls' College,www.kelstongirls.school.nz,New Zealand,principal@kelstongirls.school.nz,Ms Talia McNaughton
Kerikeri High School,www.kerikerihigh.ac.nz,New Zealand,enquiries@kerikerihigh.ac.nz,Mr Mike Clent
Kia Aroha Campus,,New Zealand,office@kiaaroha.school.nz,Myles Ferris
King's College,,New Zealand,g.parratt@kingscollege.school.nz,Mr Patrick Gale
King's High School,www.kingshigh.school.nz,New Zealand,office@kingshigh.school.nz,Mr Nick McIvor
KingsGate School,www.kingsgate.school.nz,New Zealand,admin@kingsgate.school.nz,Mrs Rachel Tetley-Jones
Kingslea School,,New Zealand,admin@kingslea.school.nz,Ms Tina Lomax
Canterbury International College Limited,www.kiec.ac.nz,New Zealand,info@kiec.ac.nz,Peter Onneweer
KingsWay School,,New Zealand,office@kingsway.school.nz,Mr Graeme Budler
Ko Taku Reo,https://www.kotakureo.school.nz/parents-and-whanau/,New Zealand,info@kotakureo.school.nz,Ko Taku Reo
Kristin School,,New Zealand,nrangi@kristin.school.nz,Mr David Boardman
Kuranui College,,New Zealand,office@kuranui-college.school.nz,Mrs Misbah Sadat
Lake Taupo Christian School,,New Zealand,office@ltcs.school.nz,Mrs Nicola Cleary
Lawrence Area School,,New Zealand,office@las.school.nz,Mr Dave Bagwell
Liger Leadership Academy,https://ligeracademy.org.nz/,New Zealand,office@ligeracademy.org.nz,Mr Daniel Cooper
Lincoln High School,www.lincoln.school.nz,New Zealand,office@lincoln.school.nz,Mr Adrian Fastier
Lindisfarne College,,New Zealand,duncan.sarah@lindisfarne.school.nz,Mr Stuart Hakeney
Liston College,,New Zealand,info@liston.school.nz,Mr Stephen Dooley
Logan Park High School,www.lphs.school.nz,New Zealand,pwh@lphs.school.nz,Mr Peter Hills
Long Bay College,,New Zealand,office@lbc.school.nz,Mr Christian Healey
Longburn Adventist College,,New Zealand,info@lac.school.nz,Ms Rosalind Burnett
Lynfield College,www.lynfield.school.nz,New Zealand,admin@lynfield.school.nz,Cath Knell
Lytton High School,,New Zealand,info@lyttonhigh.net,Mr Wiremu Elliott
Mackenzie College,www.mackcollege.school.nz,New Zealand,samn@mackcollege.school.nz,Sam Nelson.
Macleans College,www.macleans.school.nz,New Zealand,office@macleans.school.nz,Steven Hargreaves
Mahurangi College,,New Zealand,admin@mahurangi.school.nz,Mr Antony Giles
Mairehau High School,mairehau.school.nz,New Zealand,admin@mairehau.school.nz,Mr Harry Romana
Makoura College,,New Zealand,simonfuller@mc.school.nz,Mr Simon Fuller
Mana College,,New Zealand,principal@mana.school.nz,Mr Jeff Chapman
Manawatū College,,New Zealand,office@manawatucollege.school.nz,Toni Kiriona
Mangaia School,,New Zealand,principal@mangaia.edu.ck,Mr Michael Papatua
Mangakahia Area School,,New Zealand,admin@mangakahia.school.nz,Mrs Rachel Clothier-Simmonds
Mangakōtukutuku College,,New Zealand,s.farook@mkt.school.nz,Mr James Hay-Mackenzie
Mangere College,www.mangere.school.nz,New Zealand,enquiries@mangere.school.nz,Mr Geraint Tagaloa
Maniototo Area School,,New Zealand,office@maniototo.school.nz,Ms Melissa Bell
Manukura,www.manukura.school.nz,New Zealand,admin@manukura.school.nz,Mr Nick Fonotoe
Manurewa High School,,New Zealand,mhs@manurewa.school.nz,Peter Jones
Manutuke School,www.manutuke.school.nz,New Zealand,admin@manutuke.school.nz,Na Wi Pohatu
Marcellin College,www.marcellin.school.nz,New Zealand,office@marcellin.school.nz,Ms Alisha Hunt
Marian College,,New Zealand,exec@mariancollege.school.nz,Mrs Mary-Lou Davidson
Marist College,,New Zealand,admin@maristcollege.school.nz,Mrs Raechell Taulu
Marlborough Boys' College,,New Zealand,office@mbc.school.nz,Mr Jarrod Dunn
Marlborough Girls' College,www.mgc.school.nz,New Zealand,principal@mgc.school.nz,Ms Mary-Jeanne Lynch
Māruawai College,https://www.maruawai.school.nz/,New Zealand,,Mel Hamilton
Massey High School,,New Zealand,office@masseyhigh.school.nz,Mr Alastair Fairley
Matamata College,www.matamatacollege.school.nz,New Zealand,tfo@matcol.nz,Doctor Angela Sharples
McAuley High School,,New Zealand,office@mcauleyhigh.school.nz,Mrs Jan Waelen
Menzies College,,New Zealand,admin@menzies.school.nz,Ms Kath Luoni
Mercury Bay Area School,,New Zealand,mbas@mbas.ac.nz,Mr Ross Dunn
Michael Park School,www.michaelpark.school.nz,New Zealand,admin@michaelpark.school.nz,Mr Desmond Pemerika
Middleton Grange School,,New Zealand,office@middleton.school.nz,Mr Gregg Le Roux
Mission Heights Junior College,www.mhjc.school.nz,New Zealand,principalsnominee@mhjc.school.nz,Mr Ian Morrison
Morrinsville College,,New Zealand,office@morrcoll.school.nz,Mr Scott Jenkins
Motueka High School,,New Zealand,admin@motuekahigh.school.nz,Motueka High School
Mount Albert Grammar School,,New Zealand,headmaster@mags.school.nz,Mr Patrick Drumm
Mount Aspiring College,,New Zealand,learn@mtaspiring.school.nz,Ms Nicola Jacobsen
Mount Hutt College,,New Zealand,college@mthutt.school.nz,Mr Jack Saxon
Mount Maunganui College,,New Zealand,principal@mmc.school.nz,Mr Alastair Sinton
Mount Roskill Grammar School,,New Zealand,admin@mrgs.school.nz,Mr Tom Webb
Mountainview High School,mountainview.school.nz,New Zealand,admin@mountainview.school.nz,Mr Kenny Diamond
Mt Hobson Academy,,New Zealand,admin@mthobson.school.nz,Mrs Saira Boyle
Mt Richmond School,,New Zealand,admin@mtrichmondschool.co.nz,Ms Kathleen Dooley
Murchison Area School,,New Zealand,enquiries@murchison.school.nz,Ms Charlotte Saunders
Murupara Area School,,New Zealand,office@mas.school.nz,Mrs Kuratu Hingston
Naenae College,,New Zealand,admin@naenae-college.school.nz,Mr Chris Taylor
Napier Boys' High School,www.nbhs.school.nz,New Zealand,nbhs@nbhs.school.nz,Mr Simon Coe
Napier Girls' High School,,New Zealand,nghs@nghs.school.nz,Ms Dawn Ackroyd
Nayland College,,New Zealand,xtend@nayland.school.nz,Ms Hannah Banks
Nelson College,www.nelson.school.nz/,New Zealand,excellence@nelson.school.nz,Mr Richard Washington
Nelson College For Girls,,New Zealand,admin@ncg.school.nz,Ms Claire O'Fee
New Plymouth Boys' High School,www.npbhs.school.nz,New Zealand,office@npbhs.school.nz,Mr Sam Moore
New Plymouth Girls' High School,,New Zealand,office@npghs.school.nz,Ms Jacqui Brown
New Zealand Institute of Studies Limited,www.nzios.ac.nz,New Zealand,info@nzios.ac.nz,Bruce Minogue
New Zealand Performance Academy Aotearoa,www.nzpaa.school.nz,New Zealand,enquiries@nzpaa.school.nz,New Zealand Performance Academy Aotearoa
Newlands College,,New Zealand,newcol@newlands.school.nz,Ms Deb King
Nga Taiatea Wharekura,,New Zealand,tracey.eru@taiatea.school.nz,Mrs Michelle Treadaway-Ohia
Nga Tawa Diocesan School,,New Zealand,admin@ngatawa.school.nz,Lesley Carter
Ngaruawahia High School,,New Zealand,admin@ngaruawahiahigh.school.nz,Mrs Rebecca Hodgson
Ngata Memorial College,,New Zealand,ngata@ngatacollege.school.nz,Mr Peter Heron
Niue High School,,New Zealand,nhs@schools.edu.nu,Mr Charles Ioane
Northcote College,,New Zealand,office@northcote.school.nz,Vicki Barrie
Northern Health School,www.nhs.school.nz,New Zealand,pn@nhs.school.nz,Mr Richard Winder
Northern Southland College,www.nsc.school.nz,New Zealand,office@nsc.school.nz,Mr Peter Wilkinson
Northland College,,New Zealand,admin@northlandcollege.school.nz,Mr Duane Allen
Nukutere College,,New Zealand,principal@nukutere.edu.ck,Ms Rauhina Tipuna
Okaihau College,,New Zealand,admin@okaihau-college.school.nz,Mabel Davis
One Tree Hill College,,New Zealand,office@onetreehillcollege.school.nz,Ms Emma Beale
Onehunga High School,,New Zealand,ps@ohs.school.nz,Ms Shameen Hayat
OneSchool Global,www.oneschoolglobal.com,New Zealand,matt.morrison@nz.oneschoolglobal.com,Mr Matt Morrison
OneSchool Global (Blenheim Campus),,New Zealand,,OneSchool Global (Blenheim Campus)
OneSchool Global (Dunedin Campus),,New Zealand,,OneSchool Global (Dunedin Campus)
OneSchool Global (Gisborne Campus),,New Zealand,,OneSchool Global (Gisborne Campus)
OneSchool Global (Gore Campus),,New Zealand,,OneSchool Global (Gore Campus)
OneSchool Global (Greymouth Campus),,New Zealand,,OneSchool Global (Greymouth Campus)
OneSchool Global (Hastings Campus),,New Zealand,hastings.campus@nz.oneschoolglobal.com,OneSchool Global (Hastings Campus)
OneSchool Global (Kerikeri Campus),,New Zealand,jim.luders@nz.oneschoolglobal.com,Mr Jim Luders
OneSchool Global (Maungaturoto Campus),,New Zealand,,OneSchool Global (Maungaturoto Campus)
OneSchool Global (Nelson Campus),,New Zealand,,OneSchool Global (Nelson Campus)
OneSchool Global (Palmerston North Campus),,New Zealand,,OneSchool Global (Palmerston North Campus)
OneSchool Global (Rangiora Campus),https://www.oneschoolglobal.com/campus/new-zealand/rangiora/,New Zealand,ino@nz.oneschoolglobal.com,OneSchool Global (Rangiora Campus)
OneSchool Global (Taranaki Campus),,New Zealand,,OneSchool Global (Taranaki Campus)
OneSchool Global (Timaru Campus),,New Zealand,,OneSchool Global (Timaru Campus)
OneSchool Global (Waikato Campus),,New Zealand,,OneSchool Global (Waikato Campus)
OneSchool Global (Wellington Campus),,New Zealand,,OneSchool Global (Wellington Campus)
OneSchool Global (Westport Campus),,New Zealand,,OneSchool Global (Westport Campus)
Onewhero Area School,,New Zealand,office@onewhero.school.nz,Mr Luke Thompson
Onslow College,,New Zealand,info@onslow.school.nz,Mr Jono Wyeth
Opihi College,,New Zealand,office@opihicollege.school.nz,Mrs Kirsten Stevens
Opononi Area School,www.opononi.school.nz,New Zealand,office@opononi.school.nz,Mrs Rosina Wikaira
Opotiki College,www.opotikicol.school.nz,New Zealand,admin@opotikicol.school.nz,Mr Andrew Lau
Opunake High School,,New Zealand,admin@opunake.school.nz,Ms Andrea Hooper
Orewa College,,New Zealand,admin@orewacollege.nz,Mr Wiri Warriner
Ormiston Senior College,,New Zealand,info@ormiston.school.nz,Mr Tim Botting
Otago Boys' High School,,New Zealand,school.sec@obhs.school.nz,Mr Richard Hall
Otago Girls' High School,,New Zealand,oghsadmin@otagogirls.school.nz,Mrs Bridget Davidson
Otahuhu College,,New Zealand,enquiries@otahuhucollege.school.nz,Mr Neil Watson
Ōtaki College,,New Zealand,office@otakicollege.school.nz,Mr Andrew Fraser
Otamatea High School,www.otamatea.school.nz,New Zealand,ohs@otamatea.school.nz,Mr Todd Malcolm
Otorohanga College,,New Zealand,admin@otocoll.school.nz,Mrs Lyndsay Kurth
Otumoetai College,,New Zealand,stisch@otc.school.nz,Russell Gordon
Oxford Area School,,New Zealand,info@oxford.school.nz,Mrs Lesley Inch
Pacific Advance Secondary,,New Zealand,office@pass.school.nz,Mr Falefatu Enari
Paeroa College,,New Zealand,andrewc@paeroacollege.school.nz,Mr Andrew Cameron
Pakūranga College,www.pakuranga.school.nz,New Zealand,info@pakuranga.school.nz,Mr Billy Merchant
Palmerston North Boys' High School,,New Zealand,admin@pnbhs.school.nz,David Bovey
Palmerston North Girls' High School,,New Zealand,secretary@pnghs.school.nz,Ms Tracy Walker
Papakura High School,,New Zealand,reception@papakurahigh.school.nz,Mr Simon Craggs
Papamoa College,,New Zealand,enquiries@papamoacollege.school.nz,Pere Durie
Papanui High School,www.papanui.school.nz,New Zealand,admin@papanui.school.nz,Mr Robert Gilbert
Papatoetoe High School,,New Zealand,office@papatoetoehigh.school.nz,Mr Vaughan Couillault
Paraparaumu College,,New Zealand,Lwc@paraparaumucollege.school.nz,Mr Mark Robinson
Patea Area School,,New Zealand,latara@pateaarea.school.nz,Mr James Davidson
Pinehurst School,,New Zealand,info@pinehurst.school.nz,Mr Michael Waller
Piopio College,www.piopio.school.nz/,New Zealand,Office@piopio.school.nz,Mr Benjamin Draper
Pompallier Catholic College,,New Zealand,admin@pompallier.school.nz,Hayden Kingdon
Ponatahi Christian School,,New Zealand,office@ponatahi.school.nz,Mr Jaap Reijersen van Buuren
Porirua College,,New Zealand,poriruacollege@pen.net.nz,Ragne Maxwell
Pukekohe High School,,New Zealand,bt@pukekohehigh.school.nz,Mr Murray Saunders
Putaruru College,,New Zealand,office@putarurucollege.school.nz,Mr Rob Rogers
Queen Charlotte College,,New Zealand,admin@qcc.school.nz,Mr Brendan Carroll
Queen Elizabeth College,,New Zealand,office@qec.school.nz,Mr Christopher Moller
Queen Margaret College,www.qmc.school.nz,New Zealand,reception@qmc.school.nz,Ms Jayne-Ann Young
Queen's High School,www.queens.school.nz,New Zealand,qhs@queens.school.nz,Ms Barbara Agnew
Raglan Area School,,New Zealand,principal@raglanarea.school.nz,Louisa Barham
Rai Valley Area School,,New Zealand,principal@rai.school.nz,Ms Maree Furness
Rangi Ruru Girls' School,,New Zealand,office@rangiruru.school.nz,Ms Tracy Herft
Rangiora High School,rangiorahigh.school.nz,New Zealand,admin@rangiorahigh.school.nz,Mr Bruce Kearney
Rangiora New Life School,,New Zealand,admin@rnls.school.nz,Mr Stephen Walters
Te Kura Tuarua o Rangitaiki,www.rangitaikicollege.school.nz,New Zealand,pn@rangitaikicollege.school.nz,Ms Shelley Power
Rangitikei College,,New Zealand,admin@rangitikeicollege.school.nz,Mrs Penny Keet
Rangitoto College,,New Zealand,info@rangitoto.school.nz,Mr Peter Morton
Raphael House Rudolf Steiner School,,New Zealand,info@raphaelhouse.school.nz,Ms Karyn Gray
Rathkeale College,,New Zealand,office@rathkeale.school.nz,Mr Adam Gordon
Reefton Area School,,New Zealand,office@ras.school.nz,Mrs Yvonne Catherwood
Renew School,,New Zealand,office@crs.school.nz,Mr Barend Blom
Reporoa College,,New Zealand,counter@reporoa.school.nz,Mr Matthew Melvin
Riccarton High School,,New Zealand,info@riccarton.school.nz,Mr Neil Haywood
Richmond View School,www.rvs.school.nz,New Zealand,office@rvs.school.nz,Mr Tom Jarrett
Rodney College,www.rodneycollege.school.nz,New Zealand,admin@rodneycollege.school.nz,Mr Laurence Caltaux
Rolleston College,www.rollestoncollege.nz/,New Zealand,admin@rollestoncollege.nz,Rachel Skelton
Roncalli College,,New Zealand,office@roncalli.school.nz,Christopher Comeau
Rongotai College,,New Zealand,kevin.carter@rongotai.school.nz,Mr Kevin Carter
Rosehill College,www.rosehillcollege.school.nz,New Zealand,inquiries@rosehillcollege.school.nz,Mrs Davida Suasua
Rosmini College,,New Zealand,rpeak@rosmini.school.nz,Mr Nixon Cooper
Rotorua Boys' High School,,New Zealand,jkendal@rbhs.school.nz,Mr John Kendal
